candidate_no	term	kind	line_start	line_end	disposition	accepted_class	target	source_ref	evidence_substring	origin	reason
20	data-pointer-component-name	semantic-role	8311	8349	accepted	semantic-role	data-pointer-component	C1026	A data-pointer-component-name shall be the name of a component of scalar-variable that is a data pointer	LLM	explicit constraint relation
21	scalar-variable	semantic-role	8311	8349	accepted	semantic-role	data-ref	C1025	A scalar-variable shall be a data-ref	LLM	explicit constraint relation
22	procedure-component-name	semantic-role	8352	8361	accepted	semantic-role	procedure-pointer-component	C1031	The procedure-component-name shall be the name of a procedure pointer component of the declared type of scalar-variable	LLM	explicit constraint relation
23	procedure-name	semantic-role	8352	8361	accepted	semantic-role	procedure	C1033	A procedure-name shall be the name of an internal, module, or dummy procedure	LLM	explicit constraint relation
24	function-reduction-name	semantic-role	9017	9058	accepted	semantic-role	standard-intrinsic-function	C1122	The function-reduction-name shall be the name of the standard intrinsic function IAND	LLM	explicit constraint relation
25	namelist-group-name	semantic-role	11089	11127	accepted	semantic-role	namelist-group	C1216	A namelist-group-name shall be the name of a namelist group	LLM	explicit constraint relation
26	module-name	semantic-role	13739	13772	accepted	semantic-role	intrinsic-or-nonintrinsic-module	C1404	module-name shall be the name of an intrinsic module	LLM	explicit constraint relation
27	module-name	semantic-role	13773	13774	accepted	semantic-role	module	14.2.2	If the module-name is the name of both an intrinsic and a nonintrinsic module	LLM	explicit prose relation
28	ancestor-module-name	semantic-role	13836	13852	accepted	semantic-role	nonintrinsic-module	C1412	The ancestor-module-name shall be the name of a nonintrinsic module	LLM	explicit constraint relation
29	parent-submodule-name	semantic-role	13836	13852	accepted	semantic-role	descendant-submodule	C1412	the parent-submodule-name shall be the name of a descendant of that module	LLM	explicit constraint relation
30	submodule-name	semantic-role	13836	13852	retained	-	-	C1413	If a submodule-name appears in the end-submodule-stmt	LLM	occurrence is an identity constraint, not a definition
31	.LT.	semantic-role	13997	14036	retained	-	-	C1502	one generic-spec has a defined-operator that is .LT.	LLM	operator occurrence is not a relation for the unresolved name
32	generic-name	semantic-role	13997	14036	retained	-	-	R1508	generic-spec is generic-name	LLM	grammar alternative is not a source definition of generic-name
33	procedure-name	semantic-role	13997	14036	retained	-	-	15.4.3.1	The name of a procedure can appear in a PROCEDURE statement	LLM	generic prose occurrence is not a procedure-name definition
34	procedure-name	semantic-role	14308	14330	accepted	semantic-role	nonelemental-procedure	C1519	The procedure-name shall be the name of a nonelemental external or module procedure	LLM	explicit constraint relation
35	procedure-name	semantic-role	14440	14479	accepted	semantic-role	procedure	C1534	A procedure-name shall be the name of an external, internal, module, or dummy procedure	LLM	explicit constraint relation
36	function-name	semantic-role	15282	15282	accepted	semantic-role	function	15.6.2.2	The name of the function is function-name	LLM	explicit prose definition
37	function-name	semantic-role	15291	15298	accepted	semantic-role	function-result-or-function	15.6.2.2	If RESULT does not appear, the name of the function result is function-name	LLM	explicit prose definition
38	result-name	semantic-role	15291	15298	accepted	semantic-role	function-result	15.6.2.2	the name of the function result of the function is result-name	LLM	explicit prose definition
39	subroutine-name	semantic-role	15340	15340	accepted	semantic-role	subroutine	15.6.2.3	The name of the subroutine is subroutine-name	LLM	explicit prose definition
40	entry-name	semantic-role	15395	15401	accepted	semantic-role	function	15.6.2.4	The name of the function is entry-name	LLM	explicit prose definition
41	result-name	semantic-role	15395	15401	accepted	semantic-role	function-result	15.6.2.4	the name of its result is result-name	LLM	explicit prose definition
42	entry-name	semantic-role	15402	15403	accepted	semantic-role	subroutine	15.6.2.4	The name of the subroutine is entry-name	LLM	explicit prose definition
