constraint_id	associated_rules	inventory_line	inventory_page	canonical_page	byte_start	byte_length	source_hash	origin	status	form	subject	applicability	predicate	structure_context	source_text
C803	R801	4896	116	117	305678	115	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	implication-exclusion	entity-decl-list	conditional	(implies (present language-binding-spec) (not (contains entity-decl-list procedure-names)))	R801@117:304626	40 C803 (R801) If a language-binding-spec is specified, the entity-decl-list shall not contain any procedure names.
C1169	R1154	9674	224	225	609504	109	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	cardinality	class-default-type-guard-stmt	always	(le (count class-default-type-guard-stmt select-type-construct) 1)	R1154@224:608014,R1154@224:608064	16 C1169 (R1154) For a given select-type-construct, there shall be at most one CLASS DEFAULT type-guard-stmt.
C1205	R1204	10852	251	252	692906	86	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	presence-absence	file-unit-number	conditional	(implies (present newunit-equals-specifier) (not (present file-unit-number)))	R1204@251:691624	27 C1205 (R1204) If a NEWUNIT= specifier appears, a file-unit-number shall not appear.
C1303	R1305	12511	289	290	813979	90	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	cardinality	unlimited-format-item	always	(ge (count data-edit-descriptor unlimited-format-item) 1)	R1305@290:813465	16 C1303 (R1305) An unlimited-format-item shall contain at least one data edit descriptor.
C1403	R1404	13710	317	318	899964	118	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	module-specification-part	always	(and (not (contains module-specification-part stmt-function-stmt)) (not (contains module-specification-part entry-stmt)) (not (contains module-specification-part format-stmt)))	R1404@318:899429,R1404@318:899459,R1404@318:899484,R1404@318:899513	14 C1403 (R1404) A module specification-part shall not contain a stmt-function-stmt , an entry-stmt, or a format-stmt.
C1411	R1416	13846	320	321	909444	116	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	submodule-specification-part	always	(and (not (contains submodule-specification-part format-stmt)) (not (contains submodule-specification-part entry-stmt)) (not (contains submodule-specification-part stmt-function-stmt)))	R1416@321:909108,R1416@321:909145,R1416@321:909171,R1416@321:909201	17 C1411 (R1416) A submodule specification-part shall not contain a format-stmt, entry-stmt, or stmt-function-stmt .
C1506	R1505	14045	326	327	922592	113	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	interface-body	always	(and (not (contains interface-body data-stmt)) (not (contains interface-body format-stmt)) (not (contains interface-body entry-stmt)) (not (contains interface-body stmt-function-stmt)))	R1505@326:920996,R1505@326:921037,R1505@326:921063,R1505@326:921084,R1505@326:921106,R1505@326:921132	7 C1506 (R1505) An interface-body shall not contain a data-stmt, format-stmt, entry-stmt, or stmt-function-stmt .
C1524	R1520	14406	334	335	947518	78	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	actual-arg-spec-list	always	(not (contains actual-arg-spec-list alt-return-spec))	R1520@335:947369	7 C1524 (R1520) The actual-arg-spec-list shall not contain an alt-return-spec.
C1552	R1529	15210	351	352	1002770	72	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	cardinality	prefix-spec	always	(le (count prefix-spec prefix) 1)	R1529@352:1002571	39 C1552 (R1529) A prefix shall contain at most one of each prefix-spec.
C1572	R1532	15279	353	354	1007852	95	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	internal-function-subprogram	always	(not (contains internal-function-subprogram internal-subprogram-part))	R1532@354:1006974,R1532@354:1007019,R1532@354:1007044,R1532@354:1007065,R1532@354:1007097	23 C1572 (R1532) An internal function subprogram shall not contain an internal-subprogram-part.
C1574	R1538	15333	354	355	1011509	91	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	prefix-of-a-subroutine-stmt	always	(not (contains prefix-of-a-subroutine-stmt declaration-type-spec))	R1538@355:1011384,R1538@355:1011449	10 C1574 (R1538) The prefix of a subroutine-stmt shall not contain a declaration-type-spec.
C1575	R1537	15337	354	355	1011717	97	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	exclusion	internal-subroutine-subprogram	always	(not (contains internal-subroutine-subprogram internal-subprogram-part))	R1537@355:1011236,R1537@355:1011285,R1537@355:1011310,R1537@355:1011331,R1537@355:1011362	14 C1575 (R1537) An internal subroutine subprogram shall not contain an internal-subprogram-part.
C1805	R726	22683	525	526	1466205	89	7371e889f231cfb0316d30365d5083fb5af34cbb6d5f7cb1e01855c73021bfa2	MECHANICAL	accepted	cardinality	derived-type-with-the-bind-attribute	always	(ge (count component derived-type-with-the-bind-attribute) 1)	-	16 C1805 (R726) A derived type with the BIND attribute shall have at least one component.
